Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.75,0.01,0.1,5,8,9,1.1396058827406417
0.75,0.01,0.1,5,10,21,1.1453416587241194
0.75,0.01,0.1,10,6,22,1.1331852888430094
0.75,0.01,0.1,10,8,2,1.144877752780443
0.75,0.01,0.1,10,10,13,1.1380064981759721
0.75,0.01,0.1,20,6,11,1.1405813971672989
0.75,0.01,0.1,20,8,22,1.1315541934655948
0.75,0.01,0.1,20,10,8,1.1476536138620896
0.9,1e-05,0.01,5,6,9,1.1392690177837306
0.9,1e-05,0.01,5,8,25,1.1455063659624378
0.9,1e-05,0.01,5,10,20,1.1423247800370349
0.9,1e-05,0.01,10,6,23,1.1467863082021239
0.9,1e-05,0.01,10,8,11,1.1397592592366448
0.9,1e-05,0.01,10,10,14,1.1359869809022896
0.9,1e-05,0.01,20,6,21,1.1480671590820428
0.9,1e-05,0.01,20,8,15,1.1370107834420613
0.9,1e-05,0.01,20,10,26,1.1398773463171306
0.9,1e-05,0.03,5,6,17,1.1430922691146153
0.9,1e-05,0.03,5,8,25,1.142801459646412
0.9,1e-05,0.03,5,10,27,1.1399410228657816
0.9,1e-05,0.03,10,6,12,1.1440056011848536
0.9,1e-05,0.03,10,8,12,1.1423924280270701
0.9,1e-05,0.03,10,10,20,1.1417961925754536
0.9,1e-05,0.03,20,6,12,1.1450686023386838
0.9,1e-05,0.03,20,8,25,1.1397790592741883
0.9,1e-05,0.03,20,10,5,1.1350318558570895
0.9,1e-05,0.1,5,6,11,1.1409803870191537
0.9,1e-05,0.1,5,8,4,1.1431073439647625
0.9,1e-05,0.1,5,10,11,1.1470671751571038
0.9,1e-05,0.1,10,6,14,1.131828612041591
0.9,1e-05,0.1,10,8,9,1.143434992501456
0.9,1e-05,0.1,10,10,14,1.1460998684938517
0.9,1e-05,0.1,20,6,12,1.1414727144313146
0.9,1e-05,0.1,20,8,17,1.1384319063659492
0.9,1e-05,0.1,20,10,13,1.1367379461663387
0.9,0.0001,0.01,5,6,17,1.1438185366349907
0.9,0.0001,0.01,5,8,18,1.1390893078593407
