Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.9,0.001,0.1,20,8,2,1.152491964
0.75,0.001,0.03,20,10,3,1.152499568
0.6,0.01,0.1,5,6,5,1.152528444
0.9,0.001,0.1,10,8,3,1.152696553
0.9,1.00E-05,0.03,10,8,8,1.152733561
0.9,1.00E-05,0.03,20,8,3,1.15274735
0.9,0.001,0.03,10,10,7,1.152790142
0.6,0.0003,0.03,10,8,13,1.152884819
0.6,1.00E-05,0.1,5,10,1,1.152965113
0.6,0.0003,0.1,10,6,4,1.153179272
0.9,1.00E-05,0.1,5,10,3,1.153580509
0.9,0.01,0.03,20,10,9,1.153707265
0.75,0.01,0.1,5,8,1,1.153743127
0.9,1.00E-05,0.1,5,6,4,1.153994767
0.6,1.00E-05,0.1,10,8,5,1.154453512
0.9,0.01,0.1,5,6,2,1.154621194
0.75,1.00E-05,0.1,10,8,1,1.155146802
0.6,0.0001,0.03,20,10,3,1.155378005
0.75,0.0003,0.1,10,6,1,1.155378085
0.6,0.01,0.1,5,10,6,1.155386654
0.9,0.0001,0.1,20,8,1,1.155491365
0.75,0.0003,0.1,20,8,2,1.155522343
0.6,0.0001,0.1,10,10,4,1.155522799
0.6,0.01,0.1,5,8,4,1.155596881
0.6,0.0001,0.1,10,6,1,1.155734957
0.6,0.0001,0.1,5,8,5,1.155916539
0.75,1.00E-05,0.1,10,6,2,1.155923687
0.6,0.001,0.1,10,10,4,1.155953986
0.75,0.0001,0.1,5,6,5,1.155998746
0.75,0.0001,0.1,10,6,1,1.15620827
0.6,0.001,0.1,20,8,2,1.156635681
0.9,0.0003,0.1,5,8,4,1.156639214
0.6,0.0003,0.1,5,8,3,1.156827811
0.75,0.0001,0.1,20,6,1,1.157171432
0.9,0.01,0.1,5,8,1,1.157260588
0.6,0.001,0.1,5,8,1,1.157340134
0.75,0.001,0.1,10,8,1,1.157454246
0.75,0.0001,0.1,10,10,3,1.157760355
0.75,0.001,0.1,20,6,2,1.1578435
0.75,0.01,0.1,20,10,2,1.157894627
0.75,0.01,0.1,10,10,3,1.157993549
0.6,0.0003,0.1,10,8,5,1.15809529
0.75,0.01,0.1,5,10,3,1.158114976
0.6,0.001,0.1,20,10,1,1.158663202
0.9,0.0001,0.1,10,8,5,1.158955083
0.75,0.01,0.1,20,8,1,1.15898907
0.75,0.0003,0.1,5,6,5,1.159060664
0.75,1.00E-05,0.1,20,10,4,1.159226465
0.9,1.00E-05,0.1,20,8,1,1.159382936
0.75,0.001,0.1,5,8,1,1.15959961
0.75,0.0003,0.1,10,10,4,1.159878043
0.75,0.0001,0.1,5,8,1,1.160006957
0.9,0.001,0.1,20,6,2,1.160052308
0.75,1.00E-05,0.03,20,10,1,1.160308618
0.9,1.00E-05,0.1,10,8,1,1.161089687
0.6,0.0001,0.1,20,10,2,1.161251022
0.9,0.0003,0.1,10,6,3,1.161472226
0.6,1.00E-05,0.1,20,8,2,1.161694781
0.6,0.001,0.1,10,8,7,1.161757564
0.9,0.0003,0.1,10,10,3,1.161869251
0.75,0.0003,0.1,20,10,1,1.162008609
0.6,0.0001,0.1,20,8,1,1.162041344
0.75,0.01,0.1,10,8,3,1.16265064
0.9,0.0003,0.1,20,8,1,1.162657753
0.9,0.0001,0.1,20,6,2,1.162761005
0.9,0.0003,0.1,10,8,6,1.162811512
0.75,0.0001,0.1,20,10,1,1.162978221
0.6,1.00E-05,0.1,10,10,4,1.163035268
0.9,0.01,0.1,10,10,1,1.163218522
0.75,1.00E-05,0.1,20,6,1,1.163902376
0.6,0.0003,0.1,10,10,1,1.164306946
0.75,0.0003,0.1,20,6,1,1.164645727
0.75,0.0001,0.1,10,8,1,1.164789653
0.6,0.0001,0.1,5,10,1,1.164825301
0.9,0.0001,0.1,10,6,1,1.164928683
0.75,1.00E-05,0.1,20,8,1,1.164958837
0.6,0.01,0.1,20,8,4,1.165179804
0.9,1.00E-05,0.1,10,6,2,1.165187891
0.75,1.00E-05,0.1,5,10,1,1.165647422
0.9,1.00E-05,0.1,20,6,2,1.166990716
0.9,0.0001,0.1,10,10,1,1.167158222
0.6,0.01,0.1,20,10,1,1.167437951
0.9,0.01,0.1,20,8,1,1.167759517
0.9,1.00E-05,0.1,5,8,3,1.167892632
0.6,0.0003,0.1,20,10,2,1.168556018
0.75,0.001,0.1,20,10,1,1.16904372
0.6,0.0003,0.1,20,8,2,1.169255762
0.75,0.0003,0.1,10,8,4,1.169396929
0.75,0.0001,0.1,20,8,1,1.17008616
0.6,1.00E-05,0.1,20,10,2,1.171557329
0.9,0.0001,0.1,20,10,1,1.173252266
0.9,1.00E-05,0.1,20,10,1,1.174508762
0.9,0.001,0.1,20,10,3,1.176229945
0.9,0.0003,0.1,20,10,4,1.176553684
